Id,Price
725,157291.03387279043
15856,211385.88509410876
5480,382691.7251861177
15664,349275.6170035521
14275,148206.90374684718
7633,215288.0994733401
13329,164787.50467778652
5502,229022.79231346655
4220,294190.4104567626
11538,212412.83787395095
15975,271985.9001445485
3310,216534.99241579726
9286,148719.29956342024
11260,190289.57783839808
5214,104949.37278181648
11307,180462.047482684
13543,389067.80297949555
615,188865.4336553594
3495,229608.1761950628
2321,233620.0029482363
12046,197102.51326067303
16688,145545.02202017247
12694,234250.04673087792
783,154623.26289935235
8968,167662.30134589534
13454,174624.23434237775
12190,268416.4098458363
11160,114245.46001391561
10291,197017.838910767
891,287914.25139725406
2982,179994.3842888804
3818,259016.75544207304
2449,186882.32089287558
8317,168827.2103849548
4922,183778.89992168554
1257,243881.48182829394
9348,214311.01117553603
4176,175317.7896229731
10704,159594.76660108747
6624,113761.7509259412
5428,183840.32132645135
12749,186857.39218382834
8994,219056.53039401758
11513,138365.53598126466
3047,173293.68271661614
9519,201341.06158611787
12309,222858.9481636968
14081,265007.40056848386
8334,243040.2337927951
6343,185845.7076863277
14788,130122.43118759044
15748,283538.6060554469
153,241807.2132132047
14149,179818.79089488677
269,171354.57581554828
5452,131554.96904611398
721,163700.735756272
5079,311518.2646827276
2831,119111.28808300248
10614,111740.29006738229
10131,294094.99210181175
9996,279564.2099258127
3061,191530.03086240098
11733,305138.73820344557
3726,255906.86749114032
10929,217675.48608294933
9011,289705.0724465156
16182,258452.6109778522
4976,169421.22808271562
9897,245082.3722211445
1872,147314.05848904644
9205,446649.95134593145
5403,398842.4384373581
14074,220880.35186202743
6268,154141.87406178634
14232,161684.6433260145
8532,221474.0661352678
7034,324503.6384030219
6553,494356.6954266176
3133,176409.23969509904
8596,195667.812094431
12389,262513.54936436494
14462,178160.56263449122
8860,359095.6346482861
8377,272880.87079053227
6367,356092.25194088346
6917,250781.27319075598
4216,196609.02239226073
5806,168314.58660335804
5438,185060.4125455971
6632,201896.22488196232
2650,161347.49901728472
5396,178652.5894434469
4044,153004.13102226195
1345,244985.35737024434
856,178698.28213974767
12791,260273.92822791194
12499,215503.10101066984
12249,127831.24559928024
14641,141861.86126429483
1919,161940.88895230883
7848,197258.61413672977
10749,180084.50018910083
15554,177116.11243439995
15834,223496.78423640624
1355,151634.44968636165
15451,174399.45811615663
12401,214103.4694851388
10290,169246.24192703277
9462,115733.04342698297
3103,237484.71868182748
3420,141995.7022352171
12262,239322.3115197624
5032,138771.06823918724
8949,326369.73958636133
15567,232708.7532151671
16389,162015.33980431582
7809,85879.12092780636
8990,146112.94011080853
16089,260134.69681495786
12743,99711.85543660645
5132,123744.76975875333
1619,266742.353494148
2428,76498.27232027684
16741,154311.83851625596
13193,223364.46001224127
12588,534449.5018032843
5067,176086.22524873153
14685,126207.94144097171
2292,169081.7989446818
5746,124642.65250110123
12578,157509.5063932471
14834,183547.43263070314
2147,172532.66449571532
8222,126980.23334799673
10419,264082.1904325278
11492,208361.61167384684
3006,216019.0793849047
8761,197191.8110969749
15371,303202.99324586254
16367,167947.50497087487
6317,271936.62495402916
10878,269936.50556893536
3895,158202.15387674453
8041,151795.89637851797
13428,466889.4542895037
14669,150491.73586481813
1006,180156.5896467445
12271,179196.8647969947
3764,370352.9080271394
7675,183592.9127640482
11709,285430.30954786617
8629,148491.82045204096
1105,295884.9306670758
6096,183318.08604637624
11727,214098.2619318197
5157,182350.77857363952
3679,143031.39670775796
1755,137285.7763348026
7391,200424.34583212688
7425,100734.0675206575
6882,446804.39988741704
10752,364249.41070755385
7472,218727.1023063452
14320,101090.49549741746
9596,164027.48997173677
5317,218096.36587509795
7378,87767.23497707635
16154,182858.73628316104
3464,198205.13458080846
4197,242124.54100026007
